ID,Value_Id,Decision_2do_Revisor,Valor_Correcto_1ra_rev,Valor_Correcto_2da_rev,Unificar_1ra_rev,Unificar_2da_rev,Valor_Correcto_Audit_TL,Unificar_Audit_TL,Coincidencia_1er_revisor_valor,Coincidencia_2do_revisor_valor,Coincidencia_1er_revisor_unificar,Coincidencia_2do_revisor_unificar,Tipificacion_Errores_1er_Revisor,Tipificacion_Errores_2do_Revisor,Casos Accionados con Errores Graves,Casos Accionados con Errores Leves
2025_W38_3343,43023274,UNIFY,false,false,false,false,FALSE,FALSE,OK,OK,OK,OK,null,null,0,0
2025_W38_3342,12988924,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3341,45881923,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3340,17324223,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3339,59891452,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3338,19094173,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3337,18997520,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3336,22869904,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3335,37255580,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3334,27755670,UNIFY,true,false,true,true,FALSE,TRUE,NOT OK,OK,OK,OK,Error de edición,null,0,0
2025_W38_3333,39127064,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3332,24420029,UNIFY,false,true,true,true,TRUE,TRUE,NOT OK,OK,OK,OK,null,null,0,0
2025_W38_3331,39104037,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
