Usuario,IDs auditados,Total errores,Error LEVE,Error GRAVE,% error,% de efectividad,Week
ext_tovulcan,30,3,0,3,"0,1","0,9",36
ext_dadi,30,0,0,0,0,1,36
ext_sancjoaq,30,5,1,4,"0,1666666667","0,8863636364",36
ext_namangas,30,1,0,1,"0,03333333333","0,9459459459",36
ext_joastori,30,2,0,2,"0,06666666667","0,9333333333",36
ext_ensole,30,0,0,0,0,1,36
ext_agnovare,30,1,1,0,"0,03333333333","0,9666666667",36
ext_mibrizue,30,0,0,0,0,1,36
ext_joavgust,67,4,4,0,"0,05970149254","0,9402985075",37
ext_ola,50,0,0,0,0,1,37
ext_matvalle,44,1,0,1,"0,02272727273","0,9772727273",37
ext_fltangor,44,0,0,0,0,1,37
ext_nadsosa,41,1,1,0,"0,0243902439","0,9756097561",37
ext_igcuevas,41,2,1,1,"0,0487804878","0,9512195122",37
ext_sancjoaq,41,17,17,0,"0,4146341463","0,6326530612",37
ext_jocambar,37,1,0,1,"0,02702702703","0,972972973",37
ext_jodragon,35,2,2,0,"0,05714285714","0,9428571429",37
ext_toarruss,35,0,0,0,0,1,37
ext_namangas,35,5,0,5,"0,1428571429","0,8571428571",37
ext_igjerez,35,2,0,2,"0,05714285714","0,9428571429",37
ext_mibrizue,35,0,0,0,0,1,37
ext_ensole,35,5,5,0,"0,1428571429","0,8571428571",37
ext_matiam,35,0,0,0,0,1,37
ext_elgramug,35,1,0,1,"0,02857142857","0,9714285714",37
ext_francof,35,9,9,0,"0,2571428571","0,7428571429",37
ext_fagaglia,35,1,0,1,"0,02857142857","0,9714285714",37
ext_tovulcan,35,1,0,1,"0,02857142857","0,9714285714",37
ext_dadi,35,2,0,2,"0,05714285714","0,9428571429",37
ext_jotrimar,35,0,0,0,0,1,37
ext_agnovare,35,0,0,0,0,1,37
ext_joastori,35,6,0,6,"0,1714285714","0,8285714286",37
ext_facacuna,34,0,0,0,0,1,37
ext_juawagne,33,2,2,0,"0,06060606061","0,9393939394",37
ext_aiolmedo,12,0,0,0,0,1,37
ext_tibareir,11,1,1,0,"0,09090909091","0,9090909091",37
ext_sancjoaq,50,0,0,0,0,1,38
ext_igcuevas,42,6,0,6,"0,1428571429","0,88",38
ext_fagaglia,42,8,0,8,"0,1904761905","0,8095238095",38
ext_fltangor,35,0,0,0,0,1,38
ext_ensole,35,0,0,0,0,1,38
ext_jocambar,35,7,0,7,"0,2","0,8",38
ext_nadsosa,35,2,0,2,"0,05714285714","0,9428571429",38
ext_ola,35,2,0,2,"0,05714285714","0,9487179487",38
ext_facacuna,35,11,0,11,"0,3142857143","0,7027027027",38
ext_matvalle,35,2,0,2,"0,05714285714","0,9428571429",38
ext_elgramug,28,0,0,0,0,1,38
ext_francof,28,0,0,0,0,1,38
ext_namangas,28,0,0,0,0,1,38
ext_tovulcan,28,0,0,0,0,1,38
ext_jodragon,28,2,2,0,"0,07142857143","0,9285714286",38
ext_juawagne,28,3,3,0,"0,1071428571","0,8928571429",38
ext_joastori,28,0,0,0,0,1,38
ext_toarruss,28,0,0,0,0,1,38
ext_matiam,28,0,0,0,0,1,38
ext_joavgust,28,1,0,1,"0,03571428571","0,9642857143",38
ext_ramiherr,28,0,0,0,0,1,38
