Fecha,flujo,tarea_detalle,Usuario,Tareas realizadas
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,30
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,49
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,56
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,62
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,32
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,35
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,37
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,55
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,33
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,52
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,47
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,63
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,32
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,53
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,29
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,39
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,49
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,36
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,43
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,39
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,55
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,41
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,44
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,60
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,61
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,36
28 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,54
28 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,47
28 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,37
28 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,42
28 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,33
28 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,57
28 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,21
28 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,36
28 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,59
28 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,55
29 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,41
29 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,57
29 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,31
29 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,53
29 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,36
